tract_fips,tract_name,town,county,town_fips
09007990100,9901,County subdivisions not defined,,0900700000
09007600100,6001,Chester,Middlesex,0900714300
09007610100,6101,Clinton,Middlesex,0900715350
09007610200,6102,Clinton,Middlesex,0900715350
09007610300,6103,Clinton,Middlesex,0900715350
09007610400,6104,Clinton,Middlesex,0900715350
09007570100,5701,Cromwell,Middlesex,0900718080
09007570200,5702,Cromwell,Middlesex,0900718080
09007570300,5703,Cromwell,Middlesex,0900718080
09007620100,6201,Deep River,Middlesex,0900719130
09007585100,5851,Durham,Middlesex,0900720810
09007550100,5501,East Hampton,Middlesex,0900722490
09007630100,6301,Essex,Middlesex,0900726270
09007590100,5901,Haddam,Middlesex,0900735230
09007640100,6401,Killingworth,Middlesex,0900740710
09007580100,5801,Middlefield,Middlesex,0900747080
09007541100,5411,Middletown,Middlesex,0900747360
09007541200,5412,Middletown,Middlesex,0900747360
09007541300,5413,Middletown,Middlesex,0900747360
09007541500,5415,Middletown,Middlesex,0900747360
09007541600,5416,Middletown,Middlesex,0900747360
09007541700,5417,Middletown,Middlesex,0900747360
09007542000,5420,Middletown,Middlesex,0900747360
09007542100,5421,Middletown,Middlesex,0900747360
09007542200,5422,Middletown,Middlesex,0900747360
09007560200,5602,Portland,Middlesex,0900761800
09007670100,6701,Old Saybrook,Middlesex,0900757320
09009190100,1901,Guilford,New Haven,0900934950
09009190200,1902,Guilford,New Haven,0900934950
09009194100,1941,Madison,New Haven,0900944560
09009125100,1251,Ansonia,New Haven,0900901220
09009125200,1252,Ansonia,New Haven,0900901220
09009125300,1253,Ansonia,New Haven,0900901220
09009167300,1673,North Haven,New Haven,0900954870
09009157100,1571,Orange,New Haven,0900957600
09009157200,1572,Orange,New Haven,0900957600
09009157400,1574,Orange,New Haven,0900957600
09009346101,3461.01,Oxford,New Haven,0900958300
09009347100,3471,Prospect,New Haven,0900962290
09009347200,3472,Prospect,New Haven,0900962290
09007670200,6702,Old Saybrook,Middlesex,0900757320
09007560100,5601,Portland,Middlesex,0900761800
09007680100,6801,Westbrook,Middlesex,0900781680
09007541402,5414.02,Middletown,Middlesex,0900747360
09007541401,5414.01,Middletown,Middlesex,0900747360
09007550202,5502.02,East Hampton,Middlesex,0900722490
09007595102,5951.02,East Haddam,Middlesex,0900722280
09007550201,5502.01,East Hampton,Middlesex,0900722490
09007595101,5951.01,East Haddam,Middlesex,0900722280
09007680200,6802,Middletown,Middlesex,0900747360
09003460100,4601,Farmington,Hartford,0900327600
09003460202,4602.02,Farmington,Hartford,0900327600
09003460301,4603.01,Farmington,Hartford,0900327600
09003520100,5201,Glastonbury,Hartford,0900331240
09003520201,5202.01,Glastonbury,Hartford,0900331240
09003520202,5202.02,Glastonbury,Hartford,0900331240
09003520400,5204,Glastonbury,Hartford,0900331240
09003520501,5205.01,Glastonbury,Hartford,0900331240
09003468101,4681.01,Granby,Hartford,0900332640
09003468102,4681.02,Granby,Hartford,0900332640
09003500100,5001,Hartford,Hartford,0900337070
09003500200,5002,Hartford,Hartford,0900337070
09003500300,5003,Hartford,Hartford,0900337070
09003487100,4871,South Windsor,Hartford,0900371390
09003487300,4873,South Windsor,Hartford,0900371390
09003487400,4874,South Windsor,Hartford,0900371390
09003487500,4875,South Windsor,Hartford,0900371390
09003477101,4771.01,Suffield,Hartford,0900374540
09003477102,4771.02,Suffield,Hartford,0900374540
09003477200,4772,Suffield,Hartford,0900374540
09003496100,4961,West Hartford,Hartford,0900382590
09003496200,4962,West Hartford,Hartford,0900382590
09003500400,5004,Hartford,Hartford,0900337070
09003500500,5005,Hartford,Hartford,0900337070
09003500700,5007,Hartford,Hartford,0900337070
09003500900,5009,Hartford,Hartford,0900337070
09003501200,5012,Hartford,Hartford,0900337070
09003501300,5013,Hartford,Hartford,0900337070
09003501400,5014,Hartford,Hartford,0900337070
09003501500,5015,Hartford,Hartford,0900337070
09003501700,5017,Hartford,Hartford,0900337070
09003496300,4963,West Hartford,Hartford,0900382590
09003496400,4964,West Hartford,Hartford,0900382590
09003496500,4965,West Hartford,Hartford,0900382590
09003496600,4966,West Hartford,Hartford,0900382590
09003496700,4967,West Hartford,Hartford,0900382590
09013530200,5302,Vernon,Tolland,0901378250
09013530301,5303.01,Vernon,Tolland,0901378250
09013530302,5303.02,Vernon,Tolland,0901378250
09013530400,5304,Vernon,Tolland,0901378250
09013840100,8401,Willington,Tolland,0901385950
09013526102,5261.02,Hebron,Tolland,0901337910
09013526101,5261.01,Hebron,Tolland,0901337910
09013890202,8902.02,Stafford,Tolland,0901372090
09013890201,8902.01,Union,Tolland,0901377830
09001210300,2103,Danbury,Fairfield,0900118500
09001110201,1102.01,Shelton,Fairfield,0900168170
09001210400,2104,Danbury,Fairfield,0900118500
09001210500,2105,Danbury,Fairfield,0900118500
09001210600,2106,Danbury,Fairfield,0900118500
09001210800,2108,Danbury,Fairfield,0900118500
09001210900,2109,Danbury,Fairfield,0900118500
09001211000,2110,Danbury,Fairfield,0900118500
09001211100,2111,Danbury,Fairfield,0900118500
09001211200,2112,Danbury,Fairfield,0900118500
09001211300,2113,Danbury,Fairfield,0900118500
09001211400,2114,Danbury,Fairfield,0900118500
09001220300,2203,New Fairfield,Fairfield,0900150860
09001080100,801,Stratford,Fairfield,0900174190
09001080200,802,Stratford,Fairfield,0900174190
09001080400,804,Stratford,Fairfield,0900174190
09001080500,805,Stratford,Fairfield,0900174190
09001080600,806,Stratford,Fairfield,0900174190
09001080700,807,Stratford,Fairfield,0900174190
09001030300,303,Darien,Fairfield,0900118850
09001035300,353,New Canaan,Fairfield,0900150580
09001011000,110,Greenwich,Fairfield,0900133620
09001030100,301,Darien,Fairfield,0900118850
09001030200,302,Darien,Fairfield,0900118850
09001030400,304,Darien,Fairfield,0900118850
09001030500,305,Darien,Fairfield,0900118850
09001105100,1051,Easton,Fairfield,0900123890
09001105200,1052,Easton,Fairfield,0900123890
09001060100,601,Fairfield,Fairfield,0900126620
09001060200,602,Fairfield,Fairfield,0900126620
09001060300,603,Fairfield,Fairfield,0900126620
09001060400,604,Fairfield,Fairfield,0900126620
09001080800,808,Stratford,Fairfield,0900174190
09001080900,809,Stratford,Fairfield,0900174190
09001081000,810,Stratford,Fairfield,0900174190
09001081100,811,Stratford,Fairfield,0900174190
09001081200,812,Stratford,Fairfield,0900174190
09001081300,813,Stratford,Fairfield,0900174190
09001090100,901,Trumbull,Fairfield,0900177200
09001090200,902,Trumbull,Fairfield,0900177200
09001090300,903,Trumbull,Fairfield,0900177200
09001050100,501,Westport,Fairfield,0900183500
09001055100,551,Weston,Fairfield,0900183430
09001055200,552,Weston,Fairfield,0900183430
09001050200,502,Westport,Fairfield,0900183500
09001050300,503,Westport,Fairfield,0900183500
09009171200,1712,Meriden,New Haven,0900946520
09009171300,1713,Meriden,New Haven,0900946520
09009171400,1714,Meriden,New Haven,0900946520
09009171500,1715,Meriden,New Haven,0900946520
09009171600,1716,Meriden,New Haven,0900946520
09009140400,1404,New Haven,New Haven,0900952070
09009142800,1428,New Haven,New Haven,0900952070
09009150100,1501,Milford,New Haven,0900947535
09009351601,3516.01,Waterbury,New Haven,0900980070
09009351900,3519,Waterbury,New Haven,0900980070
